in s,C2 in V
-5.9997084E-01,3.62305E+00
-5.9996436E-01,3.68164E+00
-5.9995788E-01,3.66211E+00
-5.9995140E-01,3.72070E+00
-5.9994492E-01,3.62305E+00
-5.9993844E-01,3.70117E+00
-5.9993196E-01,3.64258E+00
-5.9992548E-01,3.72070E+00
-5.9991900E-01,3.68164E+00
-5.9991252E-01,3.70117E+00
-5.9990604E-01,3.60352E+00
-5.9989956E-01,3.70117E+00
-5.9989308E-01,3.58398E+00
-5.9988660E-01,3.68164E+00
-5.9988012E-01,3.66211E+00
-5.9987364E-01,3.68164E+00
-5.9986716E-01,3.62305E+00
-5.9986068E-01,3.64258E+00
-5.9985420E-01,3.68164E+00
-5.9984772E-01,3.72070E+00
-5.9984124E-01,3.70117E+00
-5.9983476E-01,3.68164E+00
-5.9982828E-01,3.68164E+00
-5.9982180E-01,3.68164E+00
-5.9981532E-01,3.70117E+00
-5.9980884E-01,3.68164E+00
-5.9980236E-01,3.70117E+00
-5.9979588E-01,3.64258E+00
-5.9978940E-01,3.64258E+00
-5.9978292E-01,3.72070E+00
-5.9977644E-01,3.68164E+00
-5.9976996E-01,3.64258E+00
-5.9976348E-01,3.64258E+00
-5.9975700E-01,3.64258E+00
-5.9975052E-01,3.64258E+00
-5.9974404E-01,3.66211E+00
-5.9973756E-01,3.64258E+00
-5.9973108E-01,3.70117E+00
-5.9972460E-01,3.70117E+00
-5.9971812E-01,3.68164E+00
-5.9971164E-01,3.66211E+00
-5.9970516E-01,3.62305E+00
-5.9969868E-01,3.66211E+00
-5.9969220E-01,3.64258E+00
-5.9968572E-01,3.64258E+00
-5.9967924E-01,3.70117E+00
-5.9967276E-01,3.64258E+00
-5.9966628E-01,3.70117E+00
-5.9965980E-01,3.68164E+00
-5.9965332E-01,3.68164E+00
-5.9964684E-01,3.64258E+00
-5.9964036E-01,3.70117E+00
-5.9963388E-01,3.70117E+00
-5.9962740E-01,3.68164E+00
-5.9962092E-01,3.58398E+00
-5.9961444E-01,3.66211E+00
-5.9960796E-01,3.62305E+00
-5.9960148E-01,3.66211E+00
-5.9959500E-01,3.70117E+00
-5.9958852E-01,3.66211E+00
-5.9958204E-01,3.64258E+00
-5.9957556E-01,3.68164E+00
-5.9956908E-01,3.64258E+00
-5.9956260E-01,3.72070E+00
-5.9955612E-01,3.68164E+00
-5.9954964E-01,3.70117E+00
-5.9954316E-01,3.64258E+00
-5.9953668E-01,3.66211E+00
-5.9953020E-01,3.60352E+00
-5.9952372E-01,3.58398E+00
-5.9951724E-01,3.60352E+00
-5.9951076E-01,3.72070E+00
-5.9950428E-01,3.66211E+00
-5.9949780E-01,3.66211E+00
-5.9949132E-01,3.66211E+00
-5.9948484E-01,3.70117E+00
-5.9947836E-01,3.66211E+00
-5.9947188E-01,3.68164E+00
-5.9946540E-01,3.66211E+00
-5.9945892E-01,3.72070E+00
-5.9945244E-01,3.70117E+00
-5.9944596E-01,3.66211E+00
-5.9943948E-01,3.60352E+00
-5.9943300E-01,3.66211E+00
-5.9942652E-01,3.70117E+00
-5.9942004E-01,3.54492E+00
-5.9941356E-01,3.68164E+00
-5.9940708E-01,3.68164E+00
-5.9940060E-01,3.66211E+00
-5.9939412E-01,3.64258E+00
-5.9938764E-01,3.58398E+00
-5.9938116E-01,3.66211E+00
-5.9937468E-01,3.64258E+00
-5.9936820E-01,3.72070E+00
-5.9936172E-01,3.66211E+00
-5.9935524E-01,3.64258E+00
-5.9934876E-01,3.68164E+00
-5.9934228E-01,3.68164E+00
-5.9933580E-01,3.58398E+00
-5.9932932E-01,3.66211E+00
-5.9932284E-01,3.62305E+00
-5.9931636E-01,3.72070E+00
-5.9930988E-01,3.72070E+00
-5.9930340E-01,3.68164E+00
-5.9929692E-01,3.62305E+00
-5.9929044E-01,3.64258E+00
-5.9928396E-01,3.66211E+00
-5.9927748E-01,3.64258E+00
-5.9927100E-01,3.66211E+00
-5.9926452E-01,3.72070E+00
-5.9925804E-01,3.66211E+00
-5.9925156E-01,3.64258E+00
-5.9924508E-01,3.64258E+00
-5.9923860E-01,3.72070E+00
-5.9923212E-01,3.70117E+00
-5.9922564E-01,3.70117E+00
-5.9921916E-01,3.70117E+00
-5.9921268E-01,3.70117E+00
-5.9920620E-01,3.66211E+00
-5.9919972E-01,3.66211E+00
-5.9919324E-01,3.68164E+00
-5.9918676E-01,3.64258E+00
-5.9918028E-01,3.68164E+00
-5.9917380E-01,3.72070E+00
-5.9916732E-01,3.56445E+00
-5.9916084E-01,3.64258E+00
-5.9915436E-01,3.70117E+00
-5.9914788E-01,3.68164E+00
-5.9914140E-01,3.60352E+00
-5.9913492E-01,3.66211E+00
-5.9912844E-01,3.60352E+00
-5.9912196E-01,3.66211E+00
-5.9911548E-01,3.60352E+00
-5.9910900E-01,3.58398E+00
-5.9910252E-01,3.70117E+00
-5.9909604E-01,3.72070E+00
-5.9908956E-01,3.62305E+00
-5.9908308E-01,3.68164E+00
-5.9907660E-01,3.58398E+00
-5.9907012E-01,3.64258E+00
-5.9906364E-01,3.64258E+00
-5.9905716E-01,3.64258E+00
-5.9905068E-01,3.60352E+00
-5.9904420E-01,3.70117E+00
-5.9903772E-01,3.64258E+00
-5.9903124E-01,3.70117E+00
-5.9902476E-01,3.60352E+00
-5.9901828E-01,3.60352E+00
-5.9901180E-01,3.58398E+00
-5.9900532E-01,3.68164E+00
-5.9899884E-01,3.58398E+00
-5.9899236E-01,3.64258E+00
-5.9898588E-01,3.62305E+00
-5.9897940E-01,3.66211E+00
-5.9897292E-01,3.64258E+00
-5.9896644E-01,3.66211E+00
-5.9895996E-01,3.60352E+00
-5.9895348E-01,3.68164E+00
-5.9894700E-01,3.62305E+00
-5.9894052E-01,3.72070E+00
-5.9893404E-01,3.60352E+00
-5.9892756E-01,3.66211E+00
-5.9892108E-01,3.66211E+00
-5.9891460E-01,3.64258E+00
-5.9890812E-01,3.60352E+00
-5.9890164E-01,3.70117E+00
-5.9889516E-01,3.66211E+00
-5.9888868E-01,3.70117E+00
-5.9888220E-01,3.68164E+00
-5.9887572E-01,3.68164E+00
-5.9886924E-01,3.66211E+00
-5.9886276E-01,3.64258E+00
-5.9885628E-01,3.62305E+00
-5.9884980E-01,3.70117E+00
-5.9884332E-01,3.62305E+00
-5.9883684E-01,3.68164E+00
-5.9883036E-01,3.62305E+00
-5.9882388E-01,3.64258E+00
-5.9881740E-01,3.64258E+00
-5.9881092E-01,3.62305E+00
-5.9880444E-01,3.62305E+00
-5.9879796E-01,3.70117E+00
-5.9879148E-01,3.64258E+00
-5.9878500E-01,3.64258E+00
-5.9877852E-01,3.64258E+00
-5.9877204E-01,3.72070E+00
-5.9876556E-01,3.60352E+00
-5.9875908E-01,3.66211E+00
-5.9875260E-01,3.64258E+00
-5.9874612E-01,3.70117E+00
-5.9873964E-01,3.58398E+00
-5.9873316E-01,3.58398E+00
-5.9872668E-01,3.62305E+00
-5.9872020E-01,3.66211E+00
-5.9871372E-01,3.64258E+00
-5.9870724E-01,3.70117E+00
-5.9870076E-01,3.68164E+00
-5.9869428E-01,3.64258E+00
-5.9868780E-01,3.70117E+00
-5.9868132E-01,3.72070E+00
-5.9867484E-01,3.60352E+00
-5.9866836E-01,3.64258E+00
-5.9866188E-01,3.64258E+00
-5.9865540E-01,3.64258E+00
-5.9864892E-01,3.62305E+00
-5.9864244E-01,3.60352E+00
-5.9863596E-01,3.68164E+00
-5.9862948E-01,3.72070E+00
-5.9862300E-01,3.64258E+00
-5.9861652E-01,3.72070E+00
-5.9861004E-01,3.64258E+00
-5.9860356E-01,3.72070E+00
-5.9859708E-01,3.72070E+00
-5.9859060E-01,3.66211E+00
-5.9858412E-01,3.64258E+00
-5.9857764E-01,3.70117E+00
-5.9857116E-01,3.62305E+00
-5.9856468E-01,3.68164E+00
-5.9855820E-01,3.72070E+00
-5.9855172E-01,3.72070E+00
-5.9854524E-01,3.66211E+00
-5.9853876E-01,3.64258E+00
-5.9853228E-01,3.72070E+00
-5.9852580E-01,3.66211E+00
-5.9851932E-01,3.66211E+00
