in s,C3 in V
-3.0000126E+00,1.74805E+00
-2.9999868E+00,3.87695E+00
-2.9999610E+00,3.87695E+00
-2.9999352E+00,3.83789E+00
-2.9999094E+00,3.87695E+00
-2.9998836E+00,3.91602E+00
-2.9998578E+00,3.83789E+00
-2.9998320E+00,3.91602E+00
-2.9998062E+00,3.93555E+00
-2.9997804E+00,3.79883E+00
-2.9997546E+00,3.81836E+00
-2.9997288E+00,3.85742E+00
-2.9997030E+00,3.87695E+00
-2.9996772E+00,3.87695E+00
-2.9996514E+00,3.87695E+00
-2.9996256E+00,3.87695E+00
-2.9995998E+00,3.81836E+00
-2.9995740E+00,3.93555E+00
-2.9995482E+00,3.91602E+00
-2.9995224E+00,3.85742E+00
-2.9994966E+00,3.85742E+00
-2.9994708E+00,3.87695E+00
-2.9994450E+00,3.83789E+00
-2.9994192E+00,3.87695E+00
-2.9993934E+00,3.81836E+00
-2.9993676E+00,3.87695E+00
-2.9993418E+00,3.93555E+00
-2.9993160E+00,3.83789E+00
-2.9992902E+00,3.87695E+00
-2.9992644E+00,3.85742E+00
-2.9992386E+00,3.91602E+00
-2.9992128E+00,3.85742E+00
-2.9991870E+00,3.91602E+00
-2.9991612E+00,3.91602E+00
-2.9991354E+00,3.79883E+00
-2.9991096E+00,3.83789E+00
-2.9990838E+00,3.85742E+00
-2.9990580E+00,3.85742E+00
-2.9990322E+00,3.81836E+00
-2.9990064E+00,3.87695E+00
-2.9989806E+00,3.83789E+00
-2.9989548E+00,3.83789E+00
-2.9989290E+00,3.81836E+00
-2.9989032E+00,3.87695E+00
-2.9988774E+00,3.87695E+00
-2.9988516E+00,3.87695E+00
-2.9988258E+00,3.87695E+00
-2.9988000E+00,3.91602E+00
-2.9987742E+00,3.87695E+00
-2.9987484E+00,3.91602E+00
-2.9987226E+00,3.93555E+00
-2.9986968E+00,3.93555E+00
-2.9986710E+00,3.93555E+00
-2.9986452E+00,3.89648E+00
-2.9986194E+00,3.75977E+00
-2.9985936E+00,3.87695E+00
-2.9985678E+00,3.83789E+00
-2.9985420E+00,3.89648E+00
-2.9985162E+00,3.87695E+00
-2.9984904E+00,3.91602E+00
-2.9984646E+00,3.93555E+00
-2.9984388E+00,3.95508E+00
-2.9984130E+00,3.81836E+00
-2.9983872E+00,3.85742E+00
-2.9983614E+00,3.85742E+00
-2.9983356E+00,3.87695E+00
-2.9983098E+00,3.91602E+00
-2.9982840E+00,3.83789E+00
-2.9982582E+00,3.89648E+00
-2.9982324E+00,3.93555E+00
-2.9982066E+00,3.87695E+00
-2.9981808E+00,3.81836E+00
-2.9981550E+00,3.89648E+00
-2.9981292E+00,3.91602E+00
-2.9981034E+00,3.83789E+00
-2.9980776E+00,3.89648E+00
-2.9980518E+00,3.87695E+00
-2.9980260E+00,3.87695E+00
-2.9980002E+00,3.85742E+00
-2.9979744E+00,3.81836E+00
-2.9979486E+00,3.93555E+00
-2.9979228E+00,3.89648E+00
-2.9978970E+00,3.89648E+00
-2.9978712E+00,3.89648E+00
-2.9978454E+00,3.83789E+00
-2.9978196E+00,3.87695E+00
-2.9977938E+00,3.89648E+00
-2.9977680E+00,3.89648E+00
-2.9977422E+00,3.91602E+00
-2.9977164E+00,3.87695E+00
-2.9976906E+00,3.81836E+00
-2.9976648E+00,3.87695E+00
-2.9976390E+00,3.83789E+00
-2.9976132E+00,3.89648E+00
-2.9975874E+00,3.91602E+00
-2.9975616E+00,3.91602E+00
-2.9975358E+00,3.85742E+00
-2.9975100E+00,3.91602E+00
-2.9974842E+00,3.77930E+00
-2.9974584E+00,3.85742E+00
-2.9974326E+00,3.93555E+00
-2.9974068E+00,3.93555E+00
-2.9973810E+00,3.89648E+00
-2.9973552E+00,3.89648E+00
-2.9973294E+00,3.89648E+00
-2.9973036E+00,3.89648E+00
-2.9972778E+00,3.83789E+00
-2.9972520E+00,3.83789E+00
-2.9972262E+00,3.87695E+00
-2.9972004E+00,3.93555E+00
-2.9971746E+00,3.91602E+00
-2.9971488E+00,3.83789E+00
-2.9971230E+00,3.89648E+00
-2.9970972E+00,3.83789E+00
-2.9970714E+00,3.93555E+00
-2.9970456E+00,3.87695E+00
-2.9970198E+00,3.93555E+00
-2.9969940E+00,3.93555E+00
-2.9969682E+00,3.91602E+00
-2.9969424E+00,3.89648E+00
-2.9969166E+00,3.79883E+00
-2.9968908E+00,3.91602E+00
-2.9968650E+00,3.89648E+00
-2.9968392E+00,3.93555E+00
-2.9968134E+00,3.93555E+00
-2.9967876E+00,3.85742E+00
-2.9967618E+00,3.85742E+00
-2.9967360E+00,3.87695E+00
-2.9967102E+00,3.93555E+00
-2.9966844E+00,3.91602E+00
-2.9966586E+00,3.91602E+00
-2.9966328E+00,3.83789E+00
-2.9966070E+00,3.93555E+00
-2.9965812E+00,3.85742E+00
-2.9965554E+00,3.85742E+00
-2.9965296E+00,3.85742E+00
-2.9965038E+00,3.87695E+00
-2.9964780E+00,3.87695E+00
-2.9964522E+00,3.87695E+00
-2.9964264E+00,3.89648E+00
-2.9964006E+00,3.93555E+00
-2.9963748E+00,3.97461E+00
-2.9963490E+00,3.97461E+00
-2.9963232E+00,3.87695E+00
-2.9962974E+00,3.91602E+00
-2.9962716E+00,3.87695E+00
-2.9962458E+00,3.93555E+00
-2.9962200E+00,3.91602E+00
-2.9961942E+00,3.91602E+00
-2.9961684E+00,3.91602E+00
-2.9961426E+00,3.91602E+00
-2.9961168E+00,3.93555E+00
-2.9960910E+00,3.93555E+00
-2.9960652E+00,3.87695E+00
-2.9960394E+00,3.79883E+00
-2.9960136E+00,3.87695E+00
-2.9959878E+00,3.85742E+00
-2.9959620E+00,3.89648E+00
-2.9959362E+00,3.87695E+00
-2.9959104E+00,3.91602E+00
-2.9958846E+00,3.87695E+00
-2.9958588E+00,3.91602E+00
-2.9958330E+00,3.81836E+00
-2.9958072E+00,3.95508E+00
-2.9957814E+00,3.93555E+00
-2.9957556E+00,3.85742E+00
-2.9957298E+00,3.85742E+00
